,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
1987,"42775,116691","41376,479938","42229,181229","42300,278463","40659,917547","39706,148154","36695,648401","37385,988535","39814,627036","38661,006645","38663,814155","43620,778558"
1988,"41092,753856","41344,511557","40042,710259","41611,490465","41503,724664","39808,121052","41825,066954","41245,153389","42970,586324","44480,328352","49294,344898","53329,464263"
1989,"51770,524202","51360,440924","51868,340005","51918,348019","50216,767279","50525,255879","50743,53527","49343,439522","52551,394209","53950,929747","57044,292809","63057,44198"
1990,"59102,924031","57354,412953","57458,569891","56783,769713","56387,865787","56732,728424","55851,71904","53770,178835","53624,149488","55248,60116","59366,054512","66483,415759"
1991,"61581,231976","60241,680457","59422,902373","60786,007279","61853,681798","64252,026233","65350,139766","64730,37868","66814,15432","68165,109267","76078,596836","86228,481803"
1992,"79499,688021","82131,733888","82002,307472","86584,520519","86355,817825","89498,993538","91302,988264","93266,025586","94627,814102","98248,951835","103007,242802","117317,109497"
1993,"104871,825608","107203,589804","108032,987723","108474,903175","108199,906626","104577,760937","102806,647717","101209,410637","99714,453498","102831,511291","116500,32606","126293,228088"
1994,"121739,150617","114151,544649","113506,686369","117780,666561","121150,599259","118651,244452","117910,141872","117942,150934","131109,282823","127443,217903","152893,420226","165204,050241"
1995,"145012,57753","143980,13608","132313,142512","130560,487615","131728,237834","132041,386203","128076,451426","130437,244163","129757,562932","133944,592537","151233,891619","167411,508472"
1996,"157701,372147","154594,845267","158741,449638","148048,801122","152825,698806","152910,557598","154190,159003","154145,268066","149376,957519","147111,850099","172534,831448","196675,924594"
1997,"155863,132863","168191,771695","174262,855214","187582,821063","196880,617565","196282,881558","201107,52339","204235,280191","202506,940116","211051,870959","234332,443226","281688,53804985"
1998,"256240,76682285","250386,20361335","252377,19402585","247581,00425864","247661,79890377","242638,7637007","243844,12138358","240847,79561865","246515,26016915","252823,99011185","272941,52507788","316278,1799886"
1999,"293222,74923102","294972,04827439","282463,41255405","288509,36878946","286423,8268379","286202,8941544","294588,431733","297044,83711438","304751,01178","323015,0149865","358050,0449447","381522,03921425"
2000,"370741,84864725","358445,081665","343722,18057387","357465,3930021","336701,27486735","351214,08912885","362315,72665645","362086,31056315","361223,92837135","356346,22962135","401610,41663235","443254,77319535"
2001,"405128,13947235","393791,76940638","397880,32791475","415438,50256875","400839,67140375","401297,78997575","410600,62402675","387724,88839275","405638,36207656","405021,35866075","442969,33409253","486450,25751709"
2002,"468815,8927607","450878,57674808","445344,37941475","450038,526041","446739,38898484","430215,07205927","459884,8151164","461949,37503671","476404,19337635","483580,46695547","517250,30994181","596002,12546997"
2003,"571696,7531805","542121,8144445","555460,1995855","566472,398076","561816,1206005","584299,815515","562835,0024955","549767,1162757","557273,4454292","546699,5920662","604637,16152275","703200,45729025"
2004,"658211,36604655","611963,0576031","606827,82902995","610199,00301345","686471,35512095","636548,63791895","653639,48071395","639573,68571195","624997,53232595","633597,80852045","668514,28367995","706861,81552592"
2005,"711602,68786595","708571,74778995","713756,94049295","734235,47382695","696865,31689895","707428,85414895","733091,46860195","723399,03784695","749977,68523995","742263,45054195","796838,48126095","875701,46844095"
2006,"847532,58738995","800531,65926895","896988,28772795","858226,46094595","829539,16245695","859013,77675795","865870,99341245","878535,56095445","932760,02376495","918557,39988195","1085125,47645045","1207642,27580345"
2007,"1157231,77328095","1184227,04579894","1242551,87663195","1187055,50593395","1191589,46020995","1195181,09378695","1230722,08713695","1240583,71176396","1334311,38883895","1275918,58290695","1350819,64218995","1480760,17569095"
2008,"1470466,58241595","1454426,84173695","1611925,69553562","1491167,03004695","1448251,75545695","1415362,51223595","1395313,00692092","1354200,00205248","1361956,2243781","1313272,3983823","1373340,84662991","1502999,25351199"
2009,"1495537,52620162","1387410,41332706","1439294,67536273","1381108,78604921","1333133,24731312","1348738,62927788","1282970,01880908","1312396,00614266","1415538,82156884","1429330,20556859","1465541,40058077","1496455,82610333"
2010,"1478086,5294543","1423042,04487257","1527558,93623047","1507878,84302787","1516131,58859001","1474260,00788624","1516697,88451203","1492457,86153689","1521339,47150734","1541604,70313913","1703291,76983344","1807902,11017261"
2011,"1729326,25883252","1738798,89615614","1874070,85628986","1820266,92920099","1771016,08973745","1743277,93670423","1746358,01353486","1675484,86758133","1779326,16866022","1706980,84146013","1824794,05615044","1911840,87865961"
2012,"1840127,3977698","1823051,57687097","1751373,26502938","1794062,62067749","1758885,80769781","1756812,79794227","1795404,82767395","1756159,07876409","1765020,12235503","1800572,73949868","1938093,71677211","2158887,27611081"
2013,"2018872,89172507","1942663,55102273","2031009,19564077","1935510,12219543","1904586,1785685","1935461,83117173","1891372,58211271","1942966,85474643","1963741,02165157","1967095,61775216","2113408,06145343","2340169,06219172"
2014,"2268809,39206516","2234677,04528879","2205139,5675498","2181939,94482891","2139862,43100532","2108028,99381085","2136997,99557382","2116228,75510831","2231523,80222781","2217381,42105877","2340740,80361369","2542743,59595278"
2015,"2361140,39172995","2188130,99045076","2224212,22350926","2220057,39576869","2267700,62039339","2331030,15240616","2373433,04092718","2318258,71102932","2396874,45344396","2462819,2850322","2664066,40897071","2878601,94725957"
2016,"2745016,77849997","2803480,61755771","2902502,51686966","2685423,20528575","2731998,46990016","2728760,49063276","2820392,77726723","2681793,5341221","2785451,62685035","2861601,49529722","2868981,22278781","3122376,94766862"
2017,"3065983,99878846","3039312,69101304","2791107,51260281","2782309,20158237","2687095,32635441","2576087,34809249","2669020,16680675","2668774,15601287","2636910,74008978","2689815,92681863","2830845,7825265","3050375,76905832"
2018,"2888388,84210124","2875125,46870546","3021154,87921717","2996890,9350838","2844656,0310977","2835759,0114926","2876664,47988928","2860436,65362744","2942088,70210577","3088928,4394588","3032404,9472638","3251951,67804263"
2019,"3248366,106372","3120002,66789555","3203060,630734","3071431,03992771","2883967,14869407","2941523,565743","3087135,713616","3112188,643287","3234047,876995","3140635,17398475","3425607,71963733",
